model, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,repetition,slack,distance_look_ahead,max_speed_slow_car
NS,1,6,11,0.75,0.05,1235147,253298,981849,18041,24654,20129,27823,13,37,false,1,3,7,6
NS,1,6,11,0.75,0.05,1260840,252143,1008697,18231,23653,19772,29064,13,37,false,2,3,7,6
NS,1,6,11,0.75,0.05,1308069,250019,1058050,17530,27187,19813,30066,13,37,false,3,3,7,6
NS,1,6,11,0.75,0.05,1298500,248825,1049675,17652,26061,20093,29669,13,37,false,4,3,7,6
NS,0,6,11,0.75,0.05,1128772,267825,860947,20297,22758,20746,24461,13,37,false,0,3,7,6
NS,0,6,11,0.75,0.05,1121987,268311,853676,20502,22555,20760,24130,13,37,false,1,3,7,6
NS,0,6,11,0.75,0.05,1108482,268326,840156,20472,22115,20728,23350,13,37,false,2,3,7,6
NS,0,6,11,0.75,0.05,1092415,268755,823660,20492,21477,20754,22885,13,37,false,3,3,7,6
NS,0,6,11,0.75,0.05,1121775,268720,853055,20542,22288,20734,24099,13,37,false,4,3,7,6
NS,1,9,11,0.75,0.05,1499857,370527,1129330,28044,29715,28964,31723,13,37,false,0,3,7,9
NS,1,9,11,0.75,0.05,1567524,396889,1170635,30244,30962,30795,32564,13,37,false,1,3,7,9
NS,1,9,11,0.75,0.05,1494872,369687,1125185,27650,29206,29042,31255,13,37,false,2,3,7,9
NS,1,9,11,0.75,0.05,1496276,369556,1126720,27941,29444,29003,31402,13,37,false,3,3,7,9
NS,1,9,11,0.75,0.05,1568978,397750,1171228,30312,30810,30842,32541,13,37,false,4,3,7,9
NS,0,9,11,0.75,0.05,1618210,408996,1209214,31371,31500,31511,33915,13,37,false,0,3,7,9
NS,0,9,11,0.75,0.05,1603628,409010,1194618,31298,31479,31528,33047,13,37,false,1,3,7,9
NS,0,9,11,0.75,0.05,1621290,408525,1212765,31362,31495,31537,34113,13,37,false,2,3,7,9
NS,0,9,11,0.75,0.05,1615916,408831,1207085,31313,31581,31516,33529,13,37,false,3,3,7,9
NS,0,9,11,0.75,0.05,1597097,408982,1188115,31371,31447,31540,32806,13,37,false,4,3,7,9
NS,1,-1,4,1.0,0.05,663038,0,663038,999999999,13184,-1,13338,0,50,false,0,3,7,3
NS,1,-1,4,1.0,0.05,671929,0,671929,999999999,13275,-1,13523,0,50,false,1,3,7,3
NS,1,-1,4,1.0,0.05,672735,0,672735,999999999,13356,-1,13540,0,50,false,2,3,7,3
NS,1,-1,4,1.0,0.05,672600,0,672600,999999999,13374,-1,13530,0,50,false,3,3,7,3
NS,1,-1,4,1.0,0.05,673009,0,673009,999999999,13358,-1,13528,0,50,false,4,3,7,3
NS,0,-1,4,1.0,0.05,673803,0,673803,999999999,13416,-1,13550,0,50,false,0,3,7,3
NS,0,-1,4,1.0,0.05,674154,0,674154,999999999,13417,-1,13531,0,50,false,1,3,7,3
NS,0,-1,4,1.0,0.05,674040,0,674040,999999999,13415,-1,13537,0,50,false,2,3,7,3
